40 -11 1955 14
40 -11 1955 13.6
40 -10 1955 13.95
40 -12 1955 13.1
40 -10 1955 14
40 -9 1955 14
43 -1 1955 12.95
40 -10 1955 14.3
39 -11 1955 14.6
40 -11 1955 13.5
40 -12 1955 13.7
39 -9 1955 14.27
39 -10 1955 14.5
39 -10 1955 14.12
40 -10 1955 13.64
40 -9 1955 13.72
43 -2 1955 12.45
40 -10 1955 13.9
41 -9 1955 13.75
43 -1 1955 16
42 -9 1955 13.6
42 -8 1955 13.68
42 -8 1955 13.72
42 -9 1955 13
50 -4 1955 10.51
41 -12 1955 13.2
42 -10 1955 13.95
42 -9 1955 13.12
41 -11 1955 14.05
41 -13 1955 13.2
41 -14 1955 13.12
41 -15 1955 14.4
41 -18 1955 13.17
41 -17 1955 14.12
41 -16 1955 14.91
41 -17 1955 13.08
41 -19 1955 13.78
41 -21 1955 15.25
41 -20 1955 15.22
41 -20 1955 14.1
43 -17 1955 13.04
42 -19 1955 13.5
42 -18 1955 12.96
41 -19 1955 13.38
43 -13 1955 13
43 -15 1955 12.78
43 -16 1955 12.65
43 -14 1955 12.78
41 -11 1955 13.8
43 -12 1955 13.1
42 -11 1955 13.48
43 -11 1955 13.1
43 -2 1955 12.6
43 -2 1955 15
42 -10 1955 13.4
43 -3 1955 15.1
43 -3 1955 14.4
43 -3 1955 14.7
43 -4 1955 14
43 -4 1955 13.8
43 -4 1955 13.82
43 -9 1955 12.55
43 -10 1955 13.23
43 -9 1955 13.45
43 -9 1955 12.9
43 -4 1955 13
43 -9 1955 12.9
43 -4 1955 14.4
42 -9 1955 13.3
43 -4 1955 16.5
44 -10 1955 12.53
44 -12 1955 12.32
43 -9 1955 12.7
44 -11 1955 12.4
44 -9 1955 12.2
45 -11 1955 12.2
45 -10 1955 12.3
45 -11 1955 12.3
43 -8 1955 13.06
44 -7 1955 12.5
44 -8 1955 13.5
44 -8 1955 12.95
43 -7 1955 13.08
46 -6 1955 12.1
44 -6 1955 12.05
44 -6 1955 12.25
45 -6 1955 12.6
46 -5 1955 12.53
47 -5 1955 11.4
47 -5 1955 12.1
50 -4 1955 11.22
35 -5 1955 14.43
36 -4 1955 13
35 -5 1955 14.43
36 -4 1955 13
36 -5 1955 14.73
35 -5 1955 14.13
35 -5 1955 16.14
35 -5 1955 14.97
35 -5 1955 16.14
36 -5 1955 14.73
35 -5 1955 14.97
35 -5 1955 14.13
36 -6 1955 14.54
36 -6 1955 15.03
36 -6 1955 15.74
36 -6 1955 15.74
36 -6 1955 15.03
36 -7 1955 14.04
36 -7 1955 14.04
37 -9 1955 14.05
42 -9 1955 12.56
42 -8 1955 13.21
50 -4 1955 13.07
42 -9 1955 12.45
42 -9 1955 12.31
42 -9 1955 12.25
42 -9 1955 13.17
42 -8 1955 15.57
42 -9 1955 12.67
42 -9 1955 12.96
42 -9 1955 11.84
42 -9 1955 12.77
42 -9 1955 12.74
42 -9 1955 12.96
42 -9 1955 13.03
42 -9 1955 12.74
42 -9 1955 12.64
42 -9 1955 12.85
42 -9 1955 12.55
42 -9 1955 13.67
42 -9 1955 12.56
42 -9 1955 12.76
42 -9 1955 12.15
43 -9 1955 12.28
42 -9 1955 12.51
42 -9 1955 12.34
43 -9 1955 13.87
43 -9 1955 12.73
43 -9 1955 12.55
43 -9 1955 12.57
43 -9 1955 14.48
43 -9 1955 12.47
43 -9 1955 12.22
43 -9 1955 12.85
43 -9 1955 12.36
48 -4 1955 15.7
43 -9 1955 12.96
48 -3 1955 15.4
48 -4 1955 15.3
43 -9 1955 12.55
43 -9 1955 13
50 -4 1955 13.13
34 -8 1955 15.31
36 -8 1955 16.15
36 -8 1955 14.74
35 -8 1955 14.49
35 -8 1955 14.9
48 -4 1955 15.1
48 -4 1955 14.9
48 -3 1955 15.4
50 -4 1955 14.08
38 -23 1955 14.82
38 -24 1955 15.26
38 -22 1955 14.02
39 -21 1955 14.78
39 -18 1955 13.84
39 -20 1955 16.4
40 -17 1955 13.93
40 -16 1955 14.38
41 -15 1955 13.61
41 -13 1955 13.32
41 -12 1955 13.43
42 -9 1955 13.98
42 -11 1955 12.58
48 -3 1955 14.3
48 -4 1955 14.2
48 -4 1955 14.1
44 -8 1955 12.56
44 -8 1955 12.42
45 -10 1955 12.38
45 -9 1955 12.52
46 -9 1955 12.18
46 -7 1955 12.14
47 -7 1955 12.25
47 -6 1955 12.42
47 -6 1955 14.46
48 -5 1955 12.14
48 -4 1955 13.1
48 -4 1955 12.9
48 -3 1955 13.5
45 -1 1955 14.8
45 -1 1955 14.7
45 -1 1955 14.4
50 -4 1955 13.09
45 -1 1955 13.6
43 -1 1955 13.6
44 -1 1955 13.45
43 -1 1955 12.7
44 -1 1955 12.3
43 -1 1955 12.8
44 -1 1955 12.35
44 -1 1955 12.7
48 -4 1955 11.7
48 -3 1955 11.7
48 -4 1955 11.8
43 -1 1955 12
43 -3 1955 13.32
43 -2 1955 13.4
43 -3 1955 13.25
43 -1 1955 13.2
43 -2 1955 13.32
50 -4 1955 12.04
43 -1 1956 13
43 -1 1956 11.5
44 -1 1956 11.6
43 -1 1956 12.7
44 -1 1956 11
43 -1 1956 13
44 -1 1956 12.1
36 -5 1956 14.68
36 -5 1956 14.68
36 -5 1956 14.42
35 -5 1956 15.48
35 -5 1956 15.12
36 -5 1956 14.42
35 -5 1956 15.12
43 -1 1956 12.2
43 -1 1956 12.9
35 -5 1956 15.5
43 -1 1956 12.5
43 -1 1956 12.9
35 -5 1956 15.45
43 -1 1956 12.9
36 -5 1956 14.03
43 -1 1956 12.9
36 -5 1956 14.03
35 -5 1956 15.5
50 -4 1956 10.81
36 -5 1956 15.48
35 -5 1956 16.15
43 -1 1956 11.9
36 -5 1956 13.08
36 -5 1956 13.65
43 -1 1956 12.1
36 -5 1956 13.65
35 -5 1956 16.15
36 -5 1956 13.08
35 -5 1956 16.12
36 -5 1956 13.7
35 -5 1956 14.62
36 -5 1956 13.64
35 -5 1956 14.62
36 -5 1956 13.7
36 -5 1956 13.64
36 -5 1956 13.9
36 -5 1956 13.77
35 -5 1956 16.15
36 -5 1956 13.9
36 -5 1956 13.77
35 -5 1956 16.17
35 -5 1956 16.32
35 -5 1956 16.32
35 -5 1956 16.17
36 -5 1956 13.59
36 -5 1956 13.66
45 -1 1956 9.8
35 -5 1956 13.23
35 -5 1956 14.21
35 -5 1956 15.81
35 -5 1956 15.98
36 -5 1956 13.85
35 -5 1956 15.81
36 -5 1956 13.85
35 -5 1956 13.23
35 -5 1956 14.21
35 -5 1956 15.98
35 -5 1956 14.78
36 -5 1956 13.23
36 -5 1956 13.51
35 -5 1956 16.24
35 -5 1956 15.87
36 -5 1956 13.57
36 -5 1956 13.73
35 -5 1956 14.88
35 -5 1956 16.25
36 -5 1956 14.23
36 -5 1956 14.23
46 -1 1956 10.2
46 -2 1956 10
46 -2 1956 9.95
46 -2 1956 10.6
35 -5 1956 16.3
46 -2 1956 9.6
36 -5 1956 14.86
